"url_id","url","referrer_id"
209,"https://mcloud.de/web/guest/suche/-/results/detail/jhrlicherastervonwinterraps-beginnderblteindeutschland?_mcloudsearchportlet_backURL=https%3A%2F%2Fmcloud.de%2Fweb%2Fguest%2Fsuche%2F-%2Fresults%2FsearchAction%3F_mcloudsearchportlet_query%3Dwinterraps%26_mcloudsearchportlet_page%3D0%26_mcloudsearchportlet_sort%3Dlatest&_mcloudsearchportlet_query=winterraps",
"209_1","ftp://ftp-cdc.dwd.de/pub/CDC/grids_germany/annual/phenology/WRAB/",209
"209_2","ftp://ftp-cdc.dwd.de/pub/CDC/grids_germany/annual/phenology/WRAB/BESCHREIBUNG_gridsgermany_annual_phenology_WRAB_de.pdf","209_1"
435,"https://mcloud.de/web/guest/suche/-/results/detail/serviceeinrichtungen?_mcloudsearchportlet_backURL=https%3A%2F%2Fmcloud.de%2Fweb%2Fguest%2Fsuche%2F-%2Fresults%2FsearchAction%3F_mcloudsearchportlet_currentAggs%3Dextras.subgroups%253A%2522railway%2522%26_mcloudsearchportlet_query%3Dserviceeinrichtungen%26_mcloudsearchportlet_page%3D1%26_mcloudsearchportlet_sort%3Dlatest&_mcloudsearchportlet_query=serviceeinrichtungen",
"435_X1","http://data.deutschebahn.com/dataset/data-serviceeinrichtungen",
"435_X1_1","http://data.deutschebahn.com/dataset/data-serviceeinrichtungen/resource/a4aeacf0-d8aa-450f-a35d-f6b363e1c6a1","435_X1"
378,"https://mcloud.de/web/guest/suche/-/results/detail/radwegegishamburg?_mcloudsearchportlet_backURL=https%3A%2F%2Fmcloud.de%2Fweb%2Fguest%2Fsuche%2F-%2Fresults%2FsearchAction%3F_mcloudsearchportlet_query%3Dradwegegis%2Bhamburg%26_mcloudsearchportlet_page%3D0%26_mcloudsearchportlet_sort%3Dlatest&_mcloudsearchportlet_query=radwegegis+hamburg",
"378_X1","http://suche.transparenz.hamburg.de/dataset/radwegegis-hamburg",
"378_X2","https://www.europeandataportal.eu/data/en/dataset/af604fb9-a1de-4885-97dd-2af348b385b5",
"378_X3","https://ckan.govdata.de/de/dataset/radwegegis-hamburg2",
